TOKEN,POS,NER
was,VERB,O
founded,VERB,O
in,ADP,O
2008,NUM,O
by,ADP,O
Carsten,PROPN,B-PPL
Frien,PROPN,L-PPL
",",PUNCT,O
Pan,PROPN,B-PPL
Katsukis,PROPN,L-PPL
",",PUNCT,O
Thomas,PROPN,B-PPL
Hille,PROPN,L-PPL
",",PUNCT,O
Martin,PROPN,B-PPL
Karlsch,PROPN,L-PPL
and,CONJ,O
Team,PROPN,B-COM
Europe,PROPN,L-COM
.,PUNCT,O
##END,###,O
It,PRON,O
currently,ADV,O
employs,VERB,O
a,DET,O
team,NOUN,O
of,ADP,O
50,NUM,O
with,ADP,O
offices,NOUN,O
in,ADP,O
Berlin,PROPN,U-GPE
",",PUNCT,O
Hamburg,PROPN,U-GPE
",",PUNCT,O
London,PROPN,U-GPE
",",PUNCT,O
Barcelona,PROPN,U-GPE
",",PUNCT,O
Madrid,PROPN,U-GPE
and,CONJ,O
Milan,PROPN,U-GPE
.,PUNCT,O
##END,###,O
Marissa,PROPN,B-PPL
Mayer,PROPN,L-PPL
",",PUNCT,O
perhaps,ADV,O
the,DET,O
most,ADV,O
famous,ADJ,O
Googler,PROPN,U-PPL
after,ADP,O
Larry,PROPN,U-PPL
and,CONJ,O
Sergey,PROPN,U-PPL
",",PUNCT,O
took,VERB,O
the,DET,O
stage,NOUN,O
for,ADP,O
the,DET,O
fourth,ADJ,O
time,NOUN,O
today,NOUN,O
at,ADP,O
LeWeb,PROPN,U-EVT
to,PART,O
talk,VERB,O
about,ADV,O
well,ADV,O
",",PUNCT,O
Google,PROPN,U-COM
.,PUNCT,O
##END,###,O
Starting,VERB,O
off,PART,O
the,DET,O
conversation,NOUN,O
",",PUNCT,O
Crunchfund,PROPN,B-COM
Partner,PROPN,L-COM
MG,PROPN,O
Siegler,PROPN,U-PPL
asked,VERB,O
Mayer,PROPN,U-PPL
",",PUNCT,O
whose,ADJ,O
own,ADJ,O
title,NOUN,O
went,VERB,O
from,ADP,O
Google,PROPN,U-COM
’s,PROPN,O
Vice,PROPN,B-PPL
President,PROPN,I-PPL
of,ADP,I-PPL
Search,PROPN,I-PPL
Products,PROPN,L-PPL
to,ADP,O
Vice,PROPN,B-PPL
President,PROPN,I-PPL
of,ADP,I-PPL
Product,PROPN,I-PPL
Management,PROPN,L-PPL
within,ADP,O
the,DET,O
past,ADJ,O
year,NOUN,O
",",PUNCT,O
whether,ADP,O
titles,NOUN,O
mattered,VERB,O
very,ADV,O
much,ADV,O
at,ADP,O
Google,PROPN,U-COM
.,PUNCT,O
##END,###,O
Siegler,NOUN,U-PPL
wondered,VERB,O
if,ADP,O
Mayer,PROPN,U-PPL
was,VERB,O
like,ADP,O
Robert,PROPN,B-PPL
De,PROPN,I-PPL
Niro,PROPN,L-PPL
’s,PROPN,O
“,PUNCT,O
Ace,PROPN,O
”,PUNCT,O
Rothstein,PROPN,O
character,NOUN,O
in,ADP,O
Casino,PROPN,O
",",PUNCT,O
someone,NOUN,O
who,NOUN,O
is,VERB,O
always,ADV,O
switching,VERB,O
roles,NOUN,O
technically,ADV,O
but,CONJ,O
still,ADV,O
in,ADP,O
charge,NOUN,O
behind,ADP,O
the,DET,O
scenes,NOUN,O
.,PUNCT,O
##END,###,O
Mayer,PROPN,U-PPL
did,VERB,O
not,ADV,O
comment,VERB,O
specifically,ADV,O
on,ADP,O
the,DET,O
De,PROPN,B-PPL
Niro,PROPN,L-PPL
comparison,NOUN,O
",",PUNCT,O
but,CONJ,O
responded,VERB,O
"with,”I",PRON,O
do,VERB,O
n’t,ADV,O
think,VERB,O
the,DET,O
titles,NOUN,O
do,VERB,O
matter,VERB,O
so,ADV,O
much,ADV,O
.,PUNCT,O
”,PUNCT,O
##END,###,O
She,PRON,O
then,ADV,O
confirmed,VERB,O
that,ADP,O
she,PRON,O
now,ADV,O
is,VERB,O
now,ADV,O
heading,VERB,O
“,PUNCT,O
##END,###,O
Local,ADJ,U-PDT
”,PUNCT,O
at,ADP,O
Google,PROPN,U-COM
",",PUNCT,O
which,ADJ,O
encompasses,VERB,O
deals,NOUN,O
and,CONJ,O
maps,NOUN,O
.,PUNCT,O
##END,###,O
Later,ADV,O
in,ADP,O
the,DET,O
talk,NOUN,O
",",PUNCT,O
Mayer,PROPN,U-PPL
was,VERB,O
asked,VERB,O
about,ADP,O
some,DET,O
of,ADP,O
the,DET,O
functions,NOUN,O
of,ADP,O
her,ADJ,O
new,ADJ,O
role,NOUN,O
by,ADP,O
an,DET,O
audience,NOUN,O
member,NOUN,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
So,ADV,O
what,NOUN,O
makes,VERB,O
a,DET,O
great,ADJ,O
Product,NOUN,O
Manager,NOUN,O
?,PUNCT,O
##END,###,O
”,PUNCT,O
##END,###,O
Mayer,PROPN,U-PPL
responded,VERB,O
that,ADP,O
a,DET,O
great,ADJ,O
Product,NOUN,O
Manager,NOUN,O
basically,ADV,O
hires,VERB,O
great,ADJ,O
people,NOUN,O
which,ADJ,O
means,VERB,O
filtering,VERB,O
out,PART,O
the,DET,O
less,ADJ,O
than,ADP,O
great,ADJ,O
.,PUNCT,O
##END,###,O
Mayer,PROPN,U-PPL
said,VERB,O
that,ADP,O
she,PRON,O
asks,VERB,O
potential,ADJ,O
job,NOUN,O
candidates,NOUN,O
(,PUNCT,O
who,NOUN,O
are,VERB,O
mostly,ADV,O
computer,NOUN,O
scientists,NOUN,O
who,NOUN,O
have,VERB,O
passed,VERB,O
technical,ADJ,O
interview,NOUN,O
requirements,NOUN,O
),PUNCT,O
personal,ADJ,O
questions,NOUN,O
to,PART,O
filter,VERB,O
for,ADP,O
qualities,NOUN,O
like,ADP,O
enthusiasm,NOUN,O
",",PUNCT,O
creativity,NOUN,O
and,CONJ,O
vision,NOUN,O
.,PUNCT,O
##END,###,O
Questions,NOUN,O
that,ADJ,O
reveal,VERB,O
what,NOUN,O
delights,VERB,O
a,DET,O
potential,ADJ,O
candidate,NOUN,O
like,ADP,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
What,NOUN,O
’s,VERB,O
the,DET,O
coolest,ADJ,O
thing,NOUN,O
you,PRON,O
’ve,VERB,O
seen,VERB,O
in,ADP,O
last,ADJ,O
six,NUM,O
months,NOUN,O
?,PUNCT,O
##END,###,O
”,PUNCT,O
show,VERB,O
what,NOUN,O
a,DET,O
candidate,NOUN,O
is,VERB,O
exposed,VERB,O
to,ADP,O
and,CONJ,O
influenced,VERB,O
by,ADP,O
",",PUNCT,O
Mayer,PROPN,U-PPL
explained,VERB,O
.,PUNCT,O
##END,###,O
Responses,NOUN,O
to,ADP,O
questions,NOUN,O
like,ADP,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
What,NOUN,O
do,VERB,O
you,PRON,O
own,VERB,O
that,ADP,O
you,PRON,O
love,VERB,O
?,PUNCT,O
##END,###,O
”,PUNCT,O
reveal,VERB,O
what,NOUN,O
a,DET,O
candidate,NOUN,O
gets,VERB,O
emotional/excited,VERB,O
about,ADP,O
—,PUNCT,O
something,NOUN,O
that,ADJ,O
will,VERB,O
be,VERB,O
crucial,ADJ,O
when,ADV,O
a,DET,O
team,NOUN,O
is,VERB,O
working,VERB,O
on,ADP,O
product,NOUN,O
direction,NOUN,O
.,PUNCT,O
##END,###,O
You,PRON,O
need,VERB,O
to,PART,O
understand,VERB,O
emotion,NOUN,O
when,ADV,O
designing,VERB,O
products,NOUN,O
that,ADJ,O
will,VERB,O
resonate,VERB,O
with,ADP,O
users,NOUN,O
.,PUNCT,O
##END,###,O
Other,ADJ,O
than,ADP,O
pre,NOUN,O
-,PUNCT,O
emptive,ADJ,O
hiring,NOUN,O
practices,NOUN,O
",",PUNCT,O
knowing,VERB,O
your,ADJ,O
limitations,NOUN,O
and,CONJ,O
listening,VERB,O
to,ADP,O
your,ADJ,O
team,NOUN,O
(,PUNCT,O
and,CONJ,O
user,NOUN,O
concerns,NOUN,O
),PUNCT,O
are,VERB,O
key,ADJ,O
to,ADP,O
Product,PROPN,O
Management,PROPN,O
success,NOUN,O
according,VERB,O
to,ADP,O
Mayer,PROPN,U-PPL
",",PUNCT,O
“,PUNCT,O
##END,###,O
You,PRON,O
do,VERB,O
n’t,ADV,O
know,VERB,O
all,ADJ,O
the,DET,O
answers,NOUN,O
",",PUNCT,O
but,CONJ,O
have,VERB,O
to,PART,O
work,VERB,O
with,ADP,O
people,NOUN,O
who,NOUN,O
do,VERB,O
.,PUNCT,O
##END,###,O
”,PUNCT,O
##END,###,O
Image,NOUN,O
via,ADP,O
:,PUNCT,O
@francois_tancre,X,U-PPL
##END,###,O
Q,NOUN,O
:,PUNCT,O
Dad,PROPN,O
",",PUNCT,O
what,NOUN,O
browser,NOUN,O
do,VERB,O
you,PRON,O
use,VERB,O
?,PUNCT,O
##END,###,O
A,DET,O
:,PUNCT,O
One,NUM,O
that,ADJ,O
browses,VERB,O
well,INTJ,O
.,PUNCT,O
##END,###,O
Q,NOUN,O
:,PUNCT,O
##END,###,O
Okay,INTJ,O
",",PUNCT,O
what,NOUN,O
’s,VERB,O
it,PRON,O
called,VERB,O
?,PUNCT,O
##END,###,O
A,DET,O
:,PUNCT,O
A,DET,O
browser,NOUN,O
.,PUNCT,O
##END,###,O
I,PRON,O
do,VERB,O
n’t,ADV,O
know,VERB,O
about,ADP,O
you,PRON,O
",",PUNCT,O
but,CONJ,O
I,PRON,O
try,VERB,O
to,PART,O
avoid,VERB,O
technological,ADJ,O
discussions,NOUN,O
with,ADP,O
my,ADJ,O
parents,NOUN,O
.,PUNCT,O
##END,###,O
Even,ADV,O
though,ADP,O
they,PRON,O
are,VERB,O
relatively,ADV,O
tech,NOUN,O
aware,ADJ,O
",",PUNCT,O
they,PRON,O
tend,VERB,O
to,PART,O
be,VERB,O
Team,PROPN,B-PPL
Windows,PROPN,L-PPL
and,CONJ,O
I,PRON,O
am,VERB,O
Team,PROPN,B-PPL
Mac,PROPN,L-PPL
.,PUNCT,O
##END,###,O
Also,ADV,O
:,PUNCT,O
While,ADP,O
the,DET,O
“,PUNCT,O
My,ADJ,O
cool,ADJ,O
grandma,NOUN,O
owns,VERB,O
an,DET,O
iPad,NOUN,U-PDT
”,PUNCT,O
##END,###,O
trope,NOUN,O
is,VERB,O
totally,ADV,O
ubiquitous,ADJ,O
and,CONJ,O
real,ADJ,O
",",PUNCT,O
older,ADJ,O
people,NOUN,O
tend,VERB,O
to,PART,O
be,VERB,O
over,ADV,O
-,PUNCT,O
sensitive,ADJ,O
about,ADP,O
their,ADJ,O
level,NOUN,O
of,ADP,O
tech,NOUN,O
acumen,NOUN,O
.,PUNCT,O
##END,###,O
It,PRON,O
’s,VERB,O
a,DET,O
fear,NOUN,O
of,ADP,O
mortality,NOUN,O
thing,NOUN,O
",",PUNCT,O
I,PRON,O
’m,VERB,O
thinking,VERB,O
.,PUNCT,O
##END,###,O
That,DET,O
’s,NOUN,O
why,ADV,O
when,ADV,O
Alexis,PROPN,B-PPL
Madrigal,PROPN,L-PPL
came,VERB,O
with,ADP,O
the,DET,O
idea,NOUN,O
to,PART,O
turn,VERB,O
Black,PROPN,B-DAT
Friday,PROPN,L-DAT
into,ADP,O
“,PROPN,O
Update,PROPN,B-DAT
Your,ADJ,I-DAT
Parents’,PROPN,I-DAT
Browser,PROPN,I-DAT
Day,PROPN,L-DAT
",",PUNCT,O
”,PUNCT,O
##END,###,O
I,PRON,O
winced,VERB,O
",",PUNCT,O
despite,ADP,O
holding,VERB,O
universal,ADJ,O
modern,ADJ,O
web,NOUN,O
browsing,NOUN,O
standards,NOUN,O
as,ADP,O
something,NOUN,O
to,PART,O
aspire,VERB,O
to,ADP,O
.,PUNCT,O
##END,###,O
As,ADP,O
part,NOUN,O
of,ADP,O
what,NOUN,O
might,VERB,O
be,VERB,O
the,DET,O
last,ADJ,O
generation,NOUN,O
to,PART,O
remember,VERB,O
what,NOUN,O
life,NOUN,O
was,VERB,O
like,ADP,O
before,ADP,O
the,DET,O
World,PROPN,B-PDT
Wide,PROPN,I-PDT
Web,NOUN,L-PDT
",",PUNCT,O
the,DET,O
idea,NOUN,O
of,ADP,O
having,VERB,O
to,PART,O
explain,VERB,O
something,NOUN,O
as,ADV,O
simple,ADJ,O
as,ADP,O
a,DET,O
browser,NOUN,O
update,NOUN,O
to,ADP,O
the,DET,O
people,NOUN,O
who,NOUN,O
bought,VERB,O
me,PRON,O
my,ADJ,O
first,ADJ,O
computer,NOUN,O
—,PUNCT,O
and,CONJ,O
",",PUNCT,O
you,PRON,O
know,VERB,O
",",PUNCT,O
gave,VERB,O
me,PRON,O
life,NOUN,O
—,PUNCT,O
strikes,VERB,O
me,PRON,O
as,ADP,O
sort,ADV,O
of,ADV,O
sad,ADJ,O
.,PUNCT,O
##END,###,O
If,ADP,O
technology,NOUN,O
makes,VERB,O
us,PRON,O
more,ADJ,O
human,ADJ,O
",",PUNCT,O
as,ADP,O
Twitter,PROPN,U-COM
’s,PROPN,O
Jack,PROPN,B-PPL
Dorsey,PROPN,L-PPL
has,VERB,O
argued,VERB,O
",",PUNCT,O
then,ADV,O
the,DET,O
absence,NOUN,O
of,ADP,O
technology,NOUN,O
turns,VERB,O
those,DET,O
at,ADP,O
the,DET,O
short,ADJ,O
end,NOUN,O
of,ADP,O
the,DET,O
USB,NOUN,O
stick,NOUN,O
into,ADP,O
a,DET,O
different,ADJ,O
species,NOUN,O
.,PUNCT,O
##END,###,O
You,PRON,O
hate,VERB,O
thinking,VERB,O
of,ADP,O
your,ADJ,O
parents,NOUN,O
as,ADP,O
weaker,ADJ,O
than,ADP,O
you,PRON,O
in,ADP,O
any,DET,O
way,NOUN,O
",",PUNCT,O
let,VERB,O
alone,ADV,O
using,VERB,O
Internet,PROPN,B-PDT
Explorer,PROPN,L-PDT
6,NUM,O
.,PUNCT,O
##END,###,O
This,DET,O
morning,NOUN,O
I,PRON,O
was,VERB,O
almost,ADV,O
too,ADV,O
scared,ADJ,O
to,PART,O
ask,VERB,O
my,ADJ,O
parents,NOUN,O
what,NOUN,O
browser,NOUN,O
they,PRON,O
use,VERB,O
",",PUNCT,O
for,ADP,O
fear,NOUN,O
that,ADP,O
I,PRON,O
might,VERB,O
actually,ADV,O
have,VERB,O
to,PART,O
celebrate,VERB,O
tomorrow,NOUN,O
’s,ADJ,O
holiday,NOUN,O
.,PUNCT,O
##END,###,O
After,ADP,O
being,VERB,O
silly,ADJ,O
(,PUNCT,O
he,PRON,O
is,VERB,O
after,ADV,O
all,ADV,O
related,ADJ,O
to,ADP,O
me,PRON,O
),PUNCT,O
",",PUNCT,O
my,ADJ,O
Dad,PROPN,O
answered,VERB,O
Google,PROPN,B-PDT
Chrome,PROPN,L-PDT
(,PUNCT,O
whew,INTJ,O
!,PUNCT,O
),PUNCT,O
.,PUNCT,O
##END,###,O
For,ADP,O
the,DET,O
record,NOUN,O
I,PRON,O
use,VERB,O
Chrome,PROPN,B-PDT
Canary,PROPN,L-PDT
—,PUNCT,O
and,CONJ,O
it,PRON,O
’s,DET,O
way,NOUN,O
buggy,NOUN,O
in,ADP,O
OS,PROPN,B-PDT
X,PROPN,I-PDT
Lion,PROPN,L-PDT
.,PUNCT,O
##END,###,O
To,ADP,O
the,DET,O
insular,ADJ,O
group,NOUN,O
of,ADP,O
tech,NOUN,O
early,ADJ,O
adopters,NOUN,O
that,ADJ,O
read,VERB,O
(,PUNCT,O
not,ADV,O
to,PART,O
mention,VERB,O
write,VERB,O
for,ADP,O
),PUNCT,O
a,DET,O
site,NOUN,O
called,VERB,O
TechCrunch,PROPN,U-PDT
",",PUNCT,O
it,PRON,O
is,VERB,O
scary,ADJ,O
to,PART,O
think,VERB,O
that,ADP,O
7.9%,NUM,O
of,ADP,O
the,DET,O
world,NOUN,O
still,ADV,O
uses,VERB,O
the,DET,O
decade,NOUN,O
-,PUNCT,O
old,ADJ,O
IE6,PROPN,U-PDT
.,PUNCT,O
##END,###,O
The,DET,O
advantages,NOUN,O
of,ADP,O
updating,VERB,O
to,ADP,O
a,DET,O
recent,ADJ,O
browser,NOUN,O
version,NOUN,O
go,VERB,O
way,NOUN,O
beyond,ADP,O
improved,ADJ,O
speed,NOUN,O
and,CONJ,O
lack,NOUN,O
of,ADP,O
self,NOUN,O
-,PUNCT,O
installing,VERB,O
‘,PUNCT,O
##END,###,O
BonziBuddy’-esque,ADJ,O
toolbars,NOUN,O
…,PUNCT,O
##END,###,O
One,NUM,O
Hacker,PROPN,B-PDT
News,PROPN,L-PDT
commenter,NOUN,O
describes,VERB,O
the,DET,O
terror,NOUN,O
of,ADP,O
his,ADJ,O
Dad,PROPN,O
inadvertently,ADV,O
playing,VERB,O
into,ADP,O
the,DET,O
hands,NOUN,O
of,ADP,O
spyware,NOUN,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
He,PRON,O
fired,VERB,O
up,PART,O
the,DET,O
ol’,ADJ,O
IE7,PROPN,U-PDT
",",PUNCT,O
went,VERB,O
to,ADP,O
the,DET,O
HSBC,PROPN,U-COM
page,NOUN,O
",",PUNCT,O
completed,VERB,O
the,DET,O
first,ADJ,O
step,NOUN,O
of,ADP,O
logging,NOUN,O
in,ADP,O
",",PUNCT,O
and,CONJ,O
there,ADV,O
it,PRON,O
was,VERB,O
",",PUNCT,O
clear,ADJ,O
as,ADP,O
day,NOUN,O
.,PUNCT,O
##END,###,O
A,DET,O
mysterious,ADJ,O
third,ADJ,O
box,NOUN,O
prompting,VERB,O
the,DET,O
user,NOUN,O
to,PART,O
enter,VERB,O
their,ADJ,O
full,ADJ,O
PIN,NOUN,O
.,PUNCT,O
##END,###,O
”,PUNCT,O
Shudder,PROPN,O
.,PUNCT,O
##END,###,O
He,PRON,O
goes,VERB,O
on,ADV,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
We,PRON,O
",",PUNCT,O
as,ADP,O
the,DET,O
more,ADV,O
technically,ADV,O
-,PUNCT,O
minded,ADJ,O
people,NOUN,O
in,ADP,O
our,ADJ,O
families,NOUN,O
",",PUNCT,O
have,VERB,O
an,DET,O
obligation,NOUN,O
to,PART,O
do,VERB,O
this,DET,O
for,ADP,O
the,DET,O
people,NOUN,O
we,PRON,O
care,VERB,O
about,ADP,O
",",PUNCT,O
in,ADP,O
a,DET,O
way,NOUN,O
that,ADJ,O
extends,VERB,O
far,ADV,O
beyond,ADP,O
those,DET,O
clever,ADJ,O
CSS,PROPN,O
animations,NOUN,O
or,CONJ,O
native,ADJ,O
video,NOUN,O
support,NOUN,O
.,PUNCT,O
##END,###,O
I,PRON,O
’m,VERB,O
lucky,ADJ,O
enough,ADV,O
that,ADP,O
my,ADJ,O
folks,NOUN,O
know,VERB,O
to,PART,O
keep,VERB,O
their,ADJ,O
eyes,NOUN,O
open,ADJ,O
to,ADP,O
anything,NOUN,O
fishy,ADJ,O
online,ADV,O
",",PUNCT,O
but,CONJ,O
I,PRON,O
had,VERB,O
no,DET,O
idea,NOUN,O
he,PRON,O
was,VERB,O
still,ADV,O
using,VERB,O
IE7,PRON,U-PDT
.,PUNCT,O
##END,###,O
The,DET,O
idea,NOUN,O
of,ADP,O
him,PRON,O
(,PUNCT,O
or,CONJ,O
indeed,ADV,O
anyone,NOUN,O
),PUNCT,O
inadvertently,ADV,O
giving,VERB,O
their,ADJ,O
complete,ADJ,O
bank,NOUN,O
details,NOUN,O
to,ADP,O
some,DET,O
cyber,NOUN,O
-,PUNCT,O
criminals,NOUN,O
out,ADP,O
of,ADP,O
completely,ADV,O
innocent,ADJ,O
ignorance,NOUN,O
terrifies,VERB,O
me,PRON,O
.,PUNCT,O
##END,###,O
”,PUNCT,O
##END,###,O
But,CONJ,O
not,ADV,O
all,DET,O
parents,NOUN,O
are,VERB,O
that,DET,O
amenable,ADJ,O
to,ADP,O
technological,ADJ,O
change,NOUN,O
;,PUNCT,O
evidence,NOUN,O
another,DET,O
Hacker,PROPN,B-PDT
News,PROPN,L-PDT
horror,NOUN,O
story,NOUN,O
",",PUNCT,O
“,PUNCT,O
##END,###,O
Once,ADV,O
I,PRON,O
came,VERB,O
to,ADP,O
my,ADJ,O
parents’,ADJ,O
house,NOUN,O
to,PART,O
find,VERB,O
the,DET,O
family,NOUN,O
laptop,NOUN,O
having,VERB,O
gained,VERB,O
a,DET,O
wonderful,ADJ,O
feature,NOUN,O
where,ADV,O
every,DET,O
search,NOUN,O
result,NOUN,O
would,VERB,O
redirect,VERB,O
to,ADP,O
spyware,NOUN,O
.,PUNCT,O
##END,###,O
Did,VERB,O
my,ADJ,O
best,ADJ,O
to,PART,O
clean,VERB,O
the,DET,O
mess,NOUN,O
and,CONJ,O
get,VERB,O
everything,NOUN,O
somewhat,ADV,O
reasonable,ADJ,O
",",PUNCT,O
and,CONJ,O
then,ADV,O
got,VERB,O
a,DET,O
call,NOUN,O
a,DET,O
few,ADJ,O
weeks,NOUN,O
later,ADV,O
saying,VERB,O
my,ADJ,O
“,NOUN,O
porn,NOUN,O
watching,VERB,O
”,PUNCT,O
##END,###,O
ruined,VERB,O
their,ADJ,O
computer,NOUN,O
and,CONJ,O
deleted,VERB,O
their,ADJ,O
bookmarks,NOUN,O
.,PUNCT,O
##END,###,O
”,PUNCT,O
##END,###,O
To,PART,O
avoid,VERB,O
this,DET,O
sort,NOUN,O
of,ADP,O
“,PUNCT,O
##END,###,O
You,PRON,O
broke,VERB,O
my,ADJ,O
Internet,NOUN,O
”,PUNCT,O
issue,NOUN,O
",",PUNCT,O
even,ADV,O
savvier,ADJ,O
techies,NOUN,O
like,ADP,O
Google,PROPN,U-COM
’s,PROPN,O
Matt,PROPN,B-PPL
Cutts,PROPN,L-PPL
have,VERB,O
resorted,VERB,O
to,ADP,O
lying,VERB,O
clever,ADJ,O
work,NOUN,O
arounds,NOUN,O
.,PUNCT,O
##END,###,O
@alexia,NOUN,U-PDT
##END,###,O
And,CONJ,O
yet,ADV,O
needed,VERB,O
.,PUNCT,O
##END,###,O
For,ADP,O
inlaw,NOUN,O
Xmas,PROPN,B-DAT
last,ADJ,I-DAT
year,NOUN,L-DAT
",",PUNCT,O
I,PRON,O
installed,VERB,O
Chrome,PROPN,U-COM
",",PUNCT,O
then,ADV,O
gave,VERB,O
it,PRON,O
the,DET,O
IE,PROPN,U-COM
icon,NOUN,O
",",PUNCT,O
then,ADV,O
moved,VERB,O
it,PRON,O
to,ADP,O
old,ADJ,O
IE,PROPN,U-COM
spot,NOUN,O
on,ADP,O
desktop,NOUN,O
:),PUNCT,O
—,PUNCT,O
Matt,PROPN,B-PPL
Cutts,PROPN,L-PPL
(,PUNCT,O
@mattcutts,PROPN,U-PPL
),PUNCT,O
November,PROPN,B-DAT
24,NUM,I-DAT
",",PUNCT,I-DAT
2011,NUM,L-DAT
##END,###,O
Whether,ADP,O
you,PRON,O
’re,VERB,O
the,DET,O
tech,NOUN,O
snob,NOUN,O
or,CONJ,O
the,DET,O
tech,NOUN,O
 ,SPACE,O
n00b,ADJ,O
 ,SPACE,O
at,ADP,O
your,ADJ,O
family,NOUN,O
gathering,NOUN,O
",",PUNCT,O
one,NUM,O
thing,NOUN,O
is,VERB,O
clear,ADJ,O
—,PUNCT,O
the,DET,O
technological,ADJ,O
gulf,NOUN,O
between,ADP,O
my,ADJ,O
parent,NOUN,O
’s,X,O
generation,NOUN,O
and,CONJ,O
mine,ADJ,O
will,VERB,O
be,VERB,O
completely,ADV,O
dwarfed,VERB,O
by,ADP,O
whatever,ADJ,O
our,ADJ,O
children,NOUN,O
come,VERB,O
up,PART,O
with,ADP,O
to,PART,O
feel,VERB,O
superior,ADJ,O
.,PUNCT,O
##END,###,O
So,ADV,O
here,ADV,O
’s,ADJ,O
a,DET,O
message,NOUN,O
to,ADP,O
my,ADJ,O
future,ADJ,O
offspring,NOUN,O
while,ADP,O
they,PRON,O
’re,VERB,O
helping,VERB,O
me,PRON,O
on,ADP,O
“,PROPN,O
Update,PROPN,O
Your,ADJ,O
Email,PROPN,O
Reading,PROPN,O
Contact,PROPN,O
Lenses,PROPN,O
Day,PROPN,O
”,PUNCT,O
or,CONJ,O
whatever,ADJ,O
:,PUNCT,O
Re,ADP,O
-,PUNCT,O
read,VERB,O
the,DET,O
title,NOUN,O
of,ADP,O
this,DET,O
post,NOUN,O
.,PUNCT,O
##END,###,O
Sad,ADJ,O
image,NOUN,O
above,ADP,O
##END,###,O
:,PUNCT,O
Shutterstock,VERB,O
##END,###,O
In,ADP,O
episode,NOUN,O
II,NUM,O
of,ADP,O
his,ADJ,O
Founder,PROPN,O
Stories,PROPN,O
interview,NOUN,O
with,ADP,O
host,NOUN,O
",",PUNCT,O
Chris,PROPN,B-PPL
Dixon,PROPN,L-PPL
",",PUNCT,O
Kiva,PROPN,B-COM
Systems,PROPN,L-COM
founder,NOUN,O
",",PUNCT,O
Mick,PROPN,B-PPL
Mountz,PROPN,L-PPL
discusses,VERB,O
traversing,VERB,O
the,DET,O
country,NOUN,O
in,ADP,O
search,NOUN,O
of,ADP,O
capital,NOUN,O
shortly,ADV,O
after,ADP,O
launching,VERB,O
his,ADJ,O
company,NOUN,O
almost,ADV,O
a,DET,B-DAT
decade,NOUN,I-DAT
ago,ADV,L-DAT
.,PUNCT,O
##END,###,O
With,ADP,O
plans,NOUN,O
to,PART,O
disrupt,VERB,O
the,DET,O
picking,NOUN,O
",",PUNCT,O
packing,VERB,O
and,CONJ,O
shipping,NOUN,O
industry,NOUN,O
",",PUNCT,O
Moutz,PROPN,U-PPL
went,VERB,O
shopping,VERB,O
for,ADP,O
investors,NOUN,O
on,ADP,O
Sand,PROPN,O
Hill,PROPN,O
Road,PROPN,O
and,CONJ,O
found,VERB,O
none,NOUN,O
.,PUNCT,O
##END,###,O
He,PRON,O
says,VERB,O
“,PUNCT,O
they,PRON,O
were,VERB,O
retrenching,VERB,O
at,ADP,O
the,DET,O
time,NOUN,O
…,PUNCT,O
and,CONJ,O
not,ADV,O
only,ADV,O
were,VERB,O
they,PRON,O
not,ADV,O
making,VERB,O
investments,NOUN,O
",",PUNCT,O
I,PRON,O
was,VERB,O
coming,VERB,O
in,PART,O
with,ADP,O
a,DET,O
hardware,NOUN,O
investment,NOUN,O
and,CONJ,O
they,PRON,O
were,VERB,O
like,INTJ,O
",",PUNCT,O
you,PRON,O
are,VERB,O
going,VERB,O
to,PART,O
need,VERB,O
$,SYM,B-MON
100-million,NUM,L-MON
to,PART,O
get,VERB,O
anywhere,ADV,O
near,ADJ,O
cash,NOUN,O
flow,NOUN,O
positive,ADJ,O
",",PUNCT,O
they,PRON,O
just,ADV,O
would,VERB,O
n’t,ADV,O
touch,VERB,O
it,PRON,O
.,PUNCT,O
##END,###,O
”,PUNCT,O
##END,###,O
Mountz,PROPN,U-PPL
turned,VERB,O
his,ADJ,O
attention,NOUN,O
elsewhere,ADV,O
and,CONJ,O
secured,VERB,O
$,SYM,B-MON
1.6-million,NUM,L-MON
from,ADP,O
angel,NOUN,O
investors,NOUN,O
.,PUNCT,O
##END,###,O
This,DET,O
led,VERB,O
to,ADP,O
a,DET,O
Series,PROPN,O
-,PUNCT,O
B,PROPN,O
",",PUNCT,O
spearheaded,VERB,O
by,ADP,O
east,ADJ,O
coast,NOUN,O
backers,NOUN,O
who,NOUN,O
took,VERB,O
a,DET,O
different,ADJ,O
position,NOUN,O
on,ADP,O
his,ADJ,O
proposition,NOUN,O
.,PUNCT,O
##END,###,O
He,PRON,O
notes,VERB,O
“,ADP,O
they,PRON,O
were,VERB,O
like,INTJ,O
wow,INTJ,O
",",PUNCT,O
$,SYM,B-MON
100-billion,NUM,I-MON
dollar,NOUN,L-MON
material,NOUN,O
handling,VERB,O
industry,NOUN,O
",",PUNCT,O
tell,VERB,O
us,PRON,O
about,ADP,O
how,ADV,O
you,PRON,O
